sec,ml
-4,0
-3,0
-2,0
-1,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.14
12,0.9
13,0.92
14,0.94
15,0.95
16,0.97
17,1.02
18,1.16
19,1.56
20,1.71
21,2.38
22,2.73
23,3.23
24,3.49
25,3.82
26,4.68
27,4.69
28,5.53
29,5.57
30,5.68
31,6.41
32,6.54
33,6.73
34,6.96
35,7.39
36,8.22
37,8.58
38,8.96
39,9.37
40,9.89
41,10.23
42,10.77
43,10.89
44,11.02
45,11.07
46,11.88
47,12.29
48,12.69
49,13.11
50,13.54
51,13.94
52,14.26
53,14.53
54,14.79
55,15.05
56,15.7
57,16.34
58,16.41
59,16.48
60,16.64
61,16.81
62,17.18
63,17.2
64,17.34
65,17.38
66,17.33
67,17.28
68,17.12
69,12.99
70,4.25
71,3.4
72,2.93
73,2.9
74,2.87
75,2.34
76,2.25
77,2.25
78,1.94
79,1.67
80,1.26
81,1.04
82,0.99
83,0.95
84,0.86
85,0.86
86,0.86
87,0.94
88,1.02
89,1.02
90,1.02
91,1.02
92,1
93,0.98
94,0.95
95,0.91
96,0.82
97,0.72
98,0.72
99,0.66
100,0.6
101,0.59
102,0.58
103,0.48
104,0.44
105,0.42
106,0.41
107,0.4
108,0.38
109,0.29
110,0.27
111,0.25
112,0.23
113,0.22
114,0.17
115,0.16
116,0.15
117,0
118,0
119,0
